,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
130,YAR33,80,Nee,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Roze,Asteraceae,Egelzonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
131,YAR317,15,Ja,"Mei, Juni, Juli",Vochthoudend-vochtig,Zon,Groen,Wit,Plumbaginaceae,Engels gras,Armeria,,Borderplanten,,,,,,,,,,,,,,,
132,YAR2588,20,Ja,"Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Plumbaginaceae,Engels gras,Armeria,,Borderplanten,,,,,,,,,,,,,,,
133,YAR3196,20,Ja,"Augustus, Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,Roze,Plumbaginaceae,Engels gras,Armeria,,Borderplanten,,,,,,,,,,,,,,,
134,YAR78,20,Ja,"Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Plumbaginaceae,Engels gras,Armeria,,Borderplanten,,,,,,,,,,,,,,,
135,YAR3648,20,Ja,"Juli, Juni, Mei",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Plumbaginaceae,Engels gras,Armeria,8,Bodembedekkers,Ja,,,,,,,,,,,,,,
136,YAR286,100,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Engelse roos,Rosa,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
137,YAR3527,150,Ja,"Juni, Juli",Droog-vochthoudend,Lichte schaduw,Groen,Rood,Escalloniaceae,Escallonia,Escallonia,3-5,Tuin thema's en Meer,Ja,Zuur tot neutraal,Ja,,,"Juli, Augustus",,,,3-5,4.5-7,,,,
138,YAR3117,60,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,Oranje,Primulaceae,Etage-primula,Primula,25,Borderplanten,,,,,,,,,,,,,,,
139,YAR2489,3000,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Europese larix,Larix,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
140,YAR2273,50,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Europese larix,Larix,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
141,YAR3129,70,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Europese larix,Larix,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
142,YAR3363,2000,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Europese larix,Larix,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
143,YAR2718,50,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Asteraceae,Fijnstraal,Erigeron,7-9,Borderplanten,,,,,,,,,,,,,,,
144,YAR3400,60,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Roze, Rood",Asteraceae,Fijnstraal,Erigeron,7-9,Borderplanten,,,Ja,,,,,,,,,,,,
145,YAR3156,60,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Fijnstraal,Erigeron,7-9,Borderplanten,Ja,,,,,,,,,,,,,,
146,YAR1072,60,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Fijnstraal,Erigeron,7-9,Borderplanten,,,,,,,,,,,,,,,
147,YAR1009,60,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Asteraceae,Fijnstraal,Erigeron,7-9,Borderplanten,,,,,,,,,,,,,,,
148,YAR327,60,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Asteraceae,Fijnstraal,Erigeron,11-15,Borderplanten,,,Ja,,,,,,,,,,,,
149,YAR313,25,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Oranje,Asteraceae,Fijnstraal,Erigeron,11-15,Borderplanten,Ja,,Ja,,,,,,,,,,,,
150,YAR2968,15,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,Zon,Groen,Geel,Asteraceae,Fijnstraal,Erigeron,,Borderplanten,Ja,,,,Rotstuin,,,,,,,,,,
151,YAR2062,70,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Fijnstraal,Erigeron,8-11,Borderplanten,,,,,,,,,,,,,,,
152,YAR40,60,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Wit, Roze",Asteraceae,Fijnstraal,Erigeron,7-9,Borderplanten,Ja,,,,,,Nee,,,,,,,,
153,YAR1156,80,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Paars, Roze",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
154,YAR1600,15,Ja,Mei,Vochthoudend-vochtig,Zon,Groen,"Rood, Roze",Polemoniaceae,Flox,Phlox,8-11,Borderplanten,Ja,,Ja,,Rotstuin,,,,,,,,,,
155,YAR2258,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Roze,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
156,YAR2537,15,Ja,Mei,Vochthoudend-vochtig,Zon,Groen,"Paars, Blauw",Polemoniaceae,Flox,Phlox,,Borderplanten,Ja,,Ja,,,,,,,,,,,,
157,YAR2373,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Blauw,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
158,YAR3544,15,Ja,Mei,Vochthoudend-vochtig,Zon,Groen,"Wit, Roze",Polemoniaceae,Flox,Phlox,8-11,Borderplanten,,,,,,,,,,,,,,,
159,YAR1379,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
160,YAR2243,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Roze,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
161,YAR2795,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
162,YAR3111,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,"Wit, Rood",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
163,YAR323,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Roze,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
164,YAR2922,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,"Roze, Rood",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
165,YAR2125,150,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Paars,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
166,YAR811,80,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Wit, Roze",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
167,YAR969,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
168,YAR880,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
169,YAR2171,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Roze,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
170,YAR1732,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Roze,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
171,YAR1686,10,Ja,Mei,Vochthoudend-vochtig,Zon,Groen,Paars,Polemoniaceae,Flox,Phlox,8-11,Borderplanten,Ja,,Ja,,Rotstuin,,,,,,,,,,
172,YAR773,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,"Wit, Paars",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
173,YAR1871,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Oranje,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
174,YAR2988,90,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Rood,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
175,YAR1098,50,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Wit, Rood",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
176,YAR784,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Paars,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
177,YAR3715,130,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,"Wit, Roze",Polemoniaceae,Flox,Phlox,,Borderplanten,,,,,,,,,,,,,,,
178,YAR2209,80,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Oranje,Polemoniaceae,Flox,Phlox,7-9,Borderplanten,,,,,,,,,,,,,,,
179,YAR2834,15,Ja,"Mei, Juni",Vochthoudend-vochtig,Zon,Groen,Roze,Polemoniaceae,Flox,Phlox,30-35,Borderplanten,Ja,,,,,,,,,,,,,,
180,YAR1115,45,Ja,"April, Mei",Droog-vochthoudend,Zon,Groen,Paars,Polemoniaceae,Flox,Phlox,8-11,Borderplanten,Ja,,Ja,,,,,,,,,,,,
181,YAR974,100,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Wit, Roze",Polemoniaceae,Flox,Phlox,7-9,Borderplanten,Ja,,Ja,,,,,,,,,,,,
182,YAR2152,50,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Polemoniaceae,Flox,Phlox,8-11,Borderplanten,,,,,,,,,,,,,,,
183,YAR2686,15,Ja,"Mei, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Paars",Polemoniaceae,Flox,Phlox,25,Borderplanten,,,,,,,,,,,,,,,
184,YAR3203,40,Nee,"Juni, Mei",Vochthoudend,"Halfschaduw, Zon","Groen, Grijs","Geel, Groen",Rosaceae,Fraaie vrouwenmantel,Alchemilla,8,Bodembedekkers,,,,,,,,,,,,,,,
185,YAR1822,50,Nee,"Juni, Mei, Juli, Augustus",Vochthoudend,Halfschaduw / zon,"Groen, Grijs","Geel, Groen",Rosaceae,Fraaie vrouwenmantel,Alchemilla,7-9,Borderplanten,,,,,,,,,,,,,,,
186,YAR1284,60,Ja,"Juni, Juli",Droog,Zon,Grijs,"Paars, Blauw",Lamiaceae,Franse lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,
187,YAR2455,80,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Geel,Scrophulariacea,Geel vingerhoedskruid,Digitalis,8-11,Borderplanten,Ja,,,,,,,,,,,,,,
188,YAR1760,80,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Geel,Scrophulariacea,Geel vingerhoedskruid,Digitalis,8-11,Borderplanten,,,,,,,,,,,,,,,
189,YAR3397,40,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Linaceae,Geel vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,
190,YAR1291,100,Ja,"Juni, Juli",Vochthoudend,Halfschaduw,Groen,Geel,Scrophulariacea,Geel vingerhoedskruid,Digitalis,8-11,Borderplanten,,,,,,,,,,,,,,,
191,YAR3067,300,Nee,"Mei, Juni",Vochthoudend-vochtig,Halfschaduw,Groen,Wit,Caprifoliaceae,Gelderse roos,Viburnum,,Tuin thema's en Meer,,Neutraal,,,,,,,,,,,,,
192,YAR1177,300,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Wit,Caprifoliaceae,Gelderse roos,Viburnum,,Tuin thema's en Meer,,Neutraal,,,,,,,,,,,,,
193,YAR1625,100,Nee,"Mei, Juni",Vochthoudend-vochtig,Halfschaduw,Groen,Wit,Caprifoliaceae,Gelderse roos,Viburnum,,Tuin thema's en Meer,,Neutraal,,,,,,,,,,,,,
194,YAR4040,60,Nee,"Augustus, September, Oktober",Droog-vochthoudend,Zon,Groen,"Geel, Bruin",Asteraceae,Gele Zonnehoed,Rudbeckia,,Borderplanten,,,,,,,,,,,,,,,
195,YAR685,80,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Geel,Liliaceae,Gele daglelie,Hemerocallis,5-7,Borderplanten,,,,,,,,,,,,,,,
196,YAR2957,25,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw","Groen, Wit",Geel,Lamiaceae,Gele dovenetel,Lamiastrum,,Borderplanten,,,,,,,,,,,,,,,
197,YAR3198,30,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw","Wit, Groen",Geel,Lamiaceae,Gele dovenetel,Lamiastrum,,Borderplanten,,,,,,,,,,,,,,,
198,YAR3367,30,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw","Wit, Groen",Geel,Lamiaceae,Gele dovenetel,Lamiastrum,,Borderplanten,,,,,,,,,,,,,,,
199,YAR3845,80,,"Mei, Juni, Juli",Vochthoudend-vochtig,"Zon, Halfschaduw",Groen,Geel,Iridaceae,Gele lis,Iris,,Borderplanten,Ja,,,,,,,,,,,,,,
200,YAR29,100,Ja,,Vochthoudend,Halfschaduw,Groen,,Aspidiaceae,Geschubde mannetjesvaren,Dryopteris,1-3,Borderplanten,,,,,,,,,,,,,,,
201,YAR30,100,Ja,,Vochthoudend,Halfschaduw,Groen,,Aspidiaceae,Geschubde mannetjesvaren,Dryopteris,1-3,Borderplanten,,,,,,,,,,,,,,,
202,YAR1950,25,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw",Wit,Wit,Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
203,YAR1857,20,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw","Grijs, Groen",Roze,Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,Ja,,,,,,,,,,,,,,
204,YAR2859,25,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw",Wit,"Roze, Paars",Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
205,YAR1498,25,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw","Groen, Geel, Wit","Paars, Roze",Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
206,YAR255,25,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw","Wit, Groen",Roze,Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
207,YAR1317,25,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw","Groen, Grijs",Roze,Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
208,YAR1474,25,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw","Groen, Wit","Paars, Roze",Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
209,YAR732,25,Ja,"Mei, Juni",Vochthoudend,Schaduw,"Wit, Groen",Roze,Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
210,YAR1190,20,Ja,"Mei, Juni",Vochthoudend,"Schaduw, Halfschaduw","Groen, Grijs",Wit,Lamiaceae,Gevlekte dovenetel,Lamium,,Borderplanten,,,,,,,,,,,,,,,
211,YAR5,600,Nee,"Februari, Maart",Vochthoudend,"Halfschaduw, Zon",Groen,Geel,Betulaceae,Hazelaar,Corylus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
212,YAR3245,10,Nee,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Geel,Fabaceae,Gewone rolklaver,Lotus,7-9,Borderplanten,,,,,,,,,,,,,,,
213,YAR549,25,Ja,,Vochthoudend,Halfschaduw,Groen,Groen,Polypodiaceae,Gewone eikvaren,Polypodium,11-15,Borderplanten,,,,,,,,,,,,,,,
214,YAR1819,50,Ja,"Juni, Juli",Droog,Zon,Grijs,Blauw,Lamiaceae,Lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,
215,YAR1902,60,Ja,"Juni, Juli",Droog,Zon,Grijs,Wit,Lamiaceae,Gewone lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,
216,YAR798,50,Ja,"Juni, Juli",Droog,Zon,Grijs,"Paars, Blauw",Lamiaceae,Gewone lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,
217,YAR2652,40,Ja,"Juni, Juli",Droog,Zon,Grijs,"Paars, Blauw",Lamiaceae,Gewone lavendel,Lavandula,7,Borderplanten,,,,,,,,,,,,,,,
218,YAR357,50,Ja,"Juni, Juli",Droog,Zon,Grijs,"Wit, lichtroze",Lamiaceae,Gewone lavendel,Lavandula,7-9,Borderplanten,,,,,,,,,,,,,,,
219,YAR1356,70,Ja,"Juni, Juli",Droog,Zon,Grijs,"Paars, Blauw",Lamiaceae,Gewone lavendel,Lavandula,6,Borderplanten,,,,,,,,,,,,,,,
220,YAR2910,600,Nee,"April, Mei",Vochthoudend-vochtig,Zon,Groen,"Wit, Roze",Magnoliaceae,Gewone magnolia,Magnolia,,Tuin thema's en Meer,,Zuur tot neutraal,Ja,Zuurminnend,,,,,,,4.5-7,,,,
221,YAR2576,600,Nee,"April, Mei",Vochthoudend-vochtig,Zon,Groen,"Wit, Paars",Magnoliaceae,Gewone magnolia,Magnolia,,Tuin thema's en Meer,,Zuur tot neutraal,Ja,,,,,,,,4.5-7,,,,
222,YAR3534,600,Nee,"Mei, Juni",Vochthoudend,"Halfschaduw, Zon",Groen,Wit,Caprifoliaceae,Gewone vlier,Sambucus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
223,YAR3607,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Paars,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,,,,,,,,,,,,,,,
224,YAR2432,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Gemengd,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,,,,,,,,,,,,,,,
225,YAR2681,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Gemengd,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,Ja,,,,,,,,,,,,,,
226,YAR3744,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,,Borderplanten,,,,,,,,,,,,,,,
227,YAR1286,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
228,YAR1826,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Paars,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
229,YAR3020,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Rood",Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
230,YAR3069,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Geel",Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
231,YAR1575,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Geel,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
232,YAR3114,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Paars,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
233,YAR2349,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Roze,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
234,YAR750,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Geel",Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
235,YAR4117,30,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Roze,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
236,YAR1081,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Roze,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
237,YAR1068,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,8,Borderplanten,,,,,,,,,,,,,,,
238,YAR1664,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
239,YAR1471,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
240,YAR2799,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
241,YAR1561,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
242,YAR1362,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
243,YAR1590,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,
244,YAR963,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Rood,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,,,,,,,,,,,,,,,
245,YAR422,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Oranje,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,Ja,,,,,,,,,,,,,,
246,YAR4094,150,Ja,"Juni, Juli",Vochthoudend,"Schaduw, Halfschaduw",Groen,Wit,Plantaginaceae,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,Ja,,,,,,,,,,,,,,
247,YAR818,300,Ja,"Mei, Juni",Vochthoudend-vochtig,Zon,"Bruin, Rood",Wit,Rosaceae,Glansmispel,Photinia,,Haagplanten,Ja,Zwak zuur tot licht basisch,,,,Maart,,,,,5.5-8,,,,
248,YAR2839,400,Nee,"Mei, Juni",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Wit,Rosaceae,Glansmispel,Photinia,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,
249,YAR655,500,Nee,"Juli, Augustus",Droog,Schaduw,"Groen, Geel",Groen,Cannabaceae,Gouden hop,Humulus,,Borderplanten,,,,,,,,,,,,,,,
250,YAR2107,1100,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Groen,Wit,Aquifoliaceae,Hulst,Ilex,,Haagplanten,,Zuur tot zwak zuur,,,,,,,,3-4,,,,,
251,YAR2067,2000,Nee,,Vochthoudend-vochtig,"Halfschaduw, Zon","Bruin, Rood",,Fagaceae,Beuk,Fagus,,Haagplanten,,Neutraal tot basisch,,,,,,,,5,"7-8, 7-9",,,,
252,YAR449,200,Ja,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Lila,Dipsacaceae,Grote kaardebol,Dipsacus,,Borderplanten,,,,,,,,,,,,,,,
253,YAR3462,100,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,
254,YAR3174,90,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,
255,YAR630,90,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,
256,YAR150,70,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,Zon,Groen,Roze,Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,
257,YAR2104,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Oranje,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,
258,YAR396,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Rood,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,
259,YAR700,40,Nee,"Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Rood",Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,
260,YAR430,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Roze,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,
261,YAR489,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Wit,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,
262,YAR1085,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Geel,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,
263,YAR4073,30,Ja,"April, Mei",Vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,"Blauw, Paars",Apocynaceae,Grote maagdenpalm,Vinca,8,Bodembedekkers,,,,,,,,,,,,,,,
264,YAR561,25,Nee,"Maart, April, Mei",Vochthoudend,Schaduw,Groen,Geel,Primulaceae,Gulden sleutelbloem,Primula,15,Borderplanten,Ja,,,,Alle,Augustus,,,,,,,,,
265,YAR902,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
