,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:,Maintenance,Maintenance description
225,YAR2681,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Gemengd,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,Ja,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
226,YAR3744,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
227,YAR1286,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
228,YAR1826,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Paars,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
229,YAR3020,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Rood",Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
230,YAR3069,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Geel",Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
231,YAR1575,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Geel,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
232,YAR3114,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Paars,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
233,YAR2349,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Roze,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
234,YAR750,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Geel",Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
235,YAR4117,30,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Roze,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
236,YAR1081,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Roze,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
237,YAR1068,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,8,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
238,YAR1664,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
239,YAR1471,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
240,YAR2799,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
241,YAR1561,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
242,YAR1362,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Rood,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
243,YAR1590,60,Nee,"September, Augustus, Juli, Juni",Droog,Zon,Groen,Wit,Asteraceae,Gewoon duizendblad,Achillea,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig. Voorkom waterstagnatie in de winterperiode.
244,YAR963,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Rood,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
245,YAR422,180,Ja,"Juni, Juli",Vochthoudend,Schaduw,Groen,Oranje,Scrophulariacea,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,Ja,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
246,YAR4094,150,Ja,"Juni, Juli",Vochthoudend,"Schaduw, Halfschaduw",Groen,Wit,Plantaginaceae,Gewoon vingerhoedskruid,Digitalis,7-9,Borderplanten,Ja,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
247,YAR818,300,Ja,"Mei, Juni",Vochthoudend-vochtig,Zon,"Bruin, Rood",Wit,Rosaceae,Glansmispel,Photinia,,Haagplanten,Ja,Zwak zuur tot licht basisch,,,,Maart,,,,,5.5-8,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
248,YAR2839,400,Nee,"Mei, Juni",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Wit,Rosaceae,Glansmispel,Photinia,,Tuin thema's en Meer,,Zuur tot zwak zuur,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
249,YAR655,500,Nee,"Juli, Augustus",Droog,Schaduw,"Groen, Geel",Groen,Cannabaceae,Gouden hop,Humulus,,Borderplanten,,,,,,,,,,,,,,,,Geen,Hop sterft af in de winter. Snoei is niet nodig.
250,YAR2107,1100,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Groen,Wit,Aquifoliaceae,Hulst,Ilex,,Haagplanten,,Zuur tot zwak zuur,,,,,,,,3-4,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
251,YAR2067,2000,Nee,,Vochthoudend-vochtig,"Halfschaduw, Zon","Bruin, Rood",,Fagaceae,Beuk,Fagus,,Haagplanten,,Neutraal tot basisch,,,,,,,,5,"7-8, 7-9",,,,,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.
252,YAR449,200,Ja,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Lila,Dipsacaceae,Grote kaardebol,Dipsacus,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
253,YAR3462,100,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
254,YAR3174,90,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
255,YAR630,90,Nee,"Augustus, Juli, Juni",Vochthoudend-vochtig,Zon,Groen,"Roze, Rood",Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
256,YAR150,70,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,Zon,Groen,Roze,Lythraceae,Grote kattenstaart,Lythrum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
257,YAR2104,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Oranje,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
258,YAR396,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Rood,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
259,YAR700,40,Nee,"Augustus, Juli, Juni",Droog,Zon,Groen,"Roze, Rood",Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
260,YAR430,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Roze,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
261,YAR489,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Wit,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
262,YAR1085,40,Nee,"Juni, Juli, Augustus",Droog,Zon,Groen,Geel,Scrophulariaceae,Grote leeuwenbek,Antirrhinum,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
263,YAR4073,30,Ja,"April, Mei",Vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,"Blauw, Paars",Apocynaceae,Grote maagdenpalm,Vinca,8,Bodembedekkers,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
264,YAR561,25,Nee,"Maart, April, Mei",Vochthoudend,Schaduw,Groen,Geel,Primulaceae,Gulden sleutelbloem,Primula,15,Borderplanten,Ja,,,,Alle,Augustus,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
265,YAR902,100,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
266,YAR2290,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
267,YAR3106,50,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
268,YAR2073,60,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
269,YAR3625,60,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
270,YAR1887,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
271,YAR3256,80,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
272,YAR3533,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
273,YAR671,160,Nee,"Augustus, September",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
274,YAR363,1500,Nee,,Vochthoudend,Halfschaduw / zon,Groen,,Carpinaceae,Haagbeuk,Carpinus,,Haagplanten,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,Hagen gemaakt van deze plant worden meestal 2x per jaar geschoren.
275,YAR1332,70,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Rosaceae,Heesterganzerik,Potentilla,,Borderplanten,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Hoog,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 30-50 cm boven de grond.
276,YAR393,70,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Hemdsknoopjes,Achillea,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
277,YAR466,10,Ja,"April, Mei",Droog-vochthoudend,Halfschaduw,"Groen, Grijs",Geel,Primulaceae,Sleutelbloem,Primula,35,Borderplanten,Ja,Neutraal tot basisch,,,Alle,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
278,YAR541,30,Nee,"Juni, Mei",Vochthoudend-vochtig,Lichte schaduw,"Groen, Grijs","Paars, Blauw",Primulaceae,Sleutelbloem,Primula,25,Borderplanten,Ja,Zwak zuur tot neutraal,Ja,,Alle,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
279,YAR1801,50,Nee,"September, Oktober, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
280,YAR3768,80,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Rood,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
281,YAR1611,80,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Rood,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
282,YAR2511,150,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Blauw,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
283,YAR559,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Paars,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
284,YAR739,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
285,YAR2440,60,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Paars,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
286,YAR3769,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
287,YAR3144,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,"Paars, Rood",Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
288,YAR3770,120,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
289,YAR1589,1500,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Betulaceae,Himalajaberk,Betula,,Bomen,,Zwak zuur tot licht basisch,,,"Bostuin, Parken",,,,,,,,,,,Hoog,Kruisende takken of takken die in de weg zitten terugknippen.
290,YAR3653,350,Nee,"Juni, Juli",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Hondsroos,Rosa,1-2,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Gemiddeld,Bij deze struiken wordt er slechts af en toe verjongt door oude takken bij de basis weg te knippen.
291,YAR75,10,Nee,"April, Mei",Vochthoudend,Schaduw,Groen,Blauw,Violaceae,Hondsviooltje,Viola,15-20,Borderplanten,,,,,,,,,,,,,,,,,
292,YAR31678,700,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Amerikaans krentenboompje,Amelanchier,1,Heesters en Struiken,Ja,Zuur tot zwak zuur,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
293,YAR592,150,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Hydrangeaceae,Wilde hortensia,Hydrangea,1-3,Heesters en Struiken,,Zuur tot zwak zuur,,,,,,,,,,,,,,Hoog,De plant kunt u het beste eind maart tot medio april snoeien. De plant bloeit op 1-jarig hout en de kale takken kunnen in het voorjaar (maart-april) tot circa 30-40 cm boven de grond afgeknipt worden.Bij droogte zullen de bladeren zichtbaar slap gaan hangen: De hoogste tijd om water te geven!
294,YAR98,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Blauw, Lila",Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
295,YAR1038,80,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Rood,Hydrangeaceae,Hortensia (scherm),Hydrangea,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
296,YAR4091,130,Nee,"Augustus, Juli",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,"Blauw, Roze, Paars",Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
297,YAR3954,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
298,YAR4019,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
299,YAR494,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
300,YAR1438,120,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Groen",Hydrangeaceae,Hortensia (scherm),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
301,YAR1070,100,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,Ja,Zuur tot neutraal,Ja,,,,,,,,4.5-7,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
302,YAR1290,150,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
303,YAR334,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Blauw",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
304,YAR1252,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Roze,Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
305,YAR571,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,"Wit, Blauw",Hydrangeaceae,Hortensia,Hydrangea,3,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.
