,ID,Name,Type,Birds,Bees,Butterflies,Hedgehogs,Squirrels,Flowering period,Leaf color,Flower color,Evergreen,Plant growth,Sun exposure,Soil moisture,Maintenance,Maintenance description,Photo
264,264,Gulden Sleutelbloem Primula veris,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Maart April Mei,BladGroen,BloemGeel,NietWintergroen,25,Schaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_652_src.jpg"
265,265,Guldenroede Solidago Dzintra,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemGeel,NietWintergroen,100,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1153_src.jpg"
266,266,Guldenroede Solidago Golden Mosa,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemGeel,NietWintergroen,70,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2297_src.jpg"
267,267,Guldenroede Solidago Goldkind,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus September,BladGroen,,NietWintergroen,50,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3273_src.jpg"
268,268,Guldenroede Solidago Ledsham,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemGeel,NietWintergroen,60,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2166_src.jpg"
269,269,Guldenroede Solidago Praecox,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemGeel,NietWintergroen,60,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3620_src.jpg"
270,270,Guldenroede Solidago Septembergold,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus September,BladGroen,BloemGeel,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2002_src.jpg"
271,271,Guldenroede Solidago Super,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemGeel,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3455_src.jpg"
272,272,Guldenroede Solidago caesia,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus September,BladGroen,BloemGeel,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3432_src.jpg"
273,273,Guldenroede Solidago rigida,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus September,BladGroen BladGrijs,BloemGeel,NietWintergroen,160,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_762_src.jpg"
274,274,Haagbeuk Carpinus betulus,Haagplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,,BladGroen,,NietWintergroen,1500,"Halfschaduw, zon",Vochthoudend,Hoog,Hagen gemaakt van deze plant worden meestal 2x per jaar geschoren.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/haagbeuk-groene-haag.png"
275,275,Heesterganzerik Potentilla fruticosa Primrose Beauty,Borderplanten,GeenVogels,Bijen,Vlinders,Egels,GeenEekhoorns,September Augustus Juli Juni,BladGroen,BloemGeel,NietWintergroen,70,Lichteschaduw Zon,Vochthoudend vochtig,Hoog,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 30-50 cm boven de grond.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1491_src.jpg"
276,276,hemdsknoopjes achillea ptarmica perry s white/,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemWit,NietWintergroen,70,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Witbloeiende-vasteplantenbijen.jpg"
277,277,Hemelsleutel Primula auricula,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen BladGrijs,BloemGeel,Wintergroen,10,Halfschaduw,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_556_src.jpg"
278,278,Hemelsleutel Primula capitata subsp mooreana,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Mei,BladGroen BladGrijs,BloemPaars BloemBlauw,NietWintergroen,30,Lichte schaduw,Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_632_src.jpg"
279,279,Herfstaster Aster Schneekissen,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober Augustus,BladGroen,BloemWit,NietWintergroen,50,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Schermafbeelding-2021-10-26-om-15.38.23-kopie.jpg"
280,280,Herfstaster Aster novae angliae Alma Potschke,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemRood,NietWintergroen,80,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2499_src.jpg"
281,281,Herfstaster Aster novae angliae Andenken an Alma Pötschke,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemRood,NietWintergroen,80,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_346_src.jpg"
282,282,aster novae angliae barr s blue/,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemBlauw,NietWintergroen,150,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2535_src.jpg"
283,283,aster novae angliae barr s pink/,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemPaars,NietWintergroen,125,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_650_src.jpg"
284,284,aster novae angliae harrington s pink/,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemRoze,NietWintergroen,125,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_830_src.jpg"
285,285,Herfstaster Aster novae angliae Purple Dome,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemPaars,NietWintergroen,60,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2376_src.jpg"
286,286,Herfstaster Aster novae angliae Rosa Sieger,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemRoze,NietWintergroen,125,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2500_src.jpg"
287,287,Herfstaster Aster novae angliae Rubinschatz,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemPaars BloemRood,NietWintergroen,125,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3311_src.jpg"
288,288,Herfstaster Aster novae angliae Rudelsburg,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemRoze,NietWintergroen,120,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2503_src.jpg"
289,289,Himalajaberk Betula utilis subsp jacquemontii,Bomen,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,,BladGroen,,NietWintergroen,1500,Lichteschaduw Zon,Vochthoudend vochtig,Hoog,Kruisende takken of takken die in de weg zitten terugknippen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_324_src.jpg"
290,290,Hondsroos Rosa canina,Heesters en Struiken,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemRoze,NietWintergroen,350,Lichteschaduw Zon,Droog vochthoudend,Gemiddeld,Bij deze struiken wordt er slechts af en toe verjongt door oude takken bij de basis weg te knippen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210903_120424.jpg"
291,291,Hondsviool Viola canina,Borderplanten,GeenVogels,GeenBijen,Vlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen,BloemBlauw,NietWintergroen,10,Schaduw,Vochthoudend,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1569_src.jpg"
292,292,Hoogstam Amerikaans krentenboompje Amelanchier lamarckii Grote boom,Heesters en Struiken,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen,BloemWit,NietWintergroen,700,"Halfschaduw, Zon",Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Krentenboom-op-stam-kopen.jpg"
293,293,wilde hortensia hydrangea arborescens annabelle/,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemWit,NietWintergroen,150,"Halfschaduw, Zon",Vochthoudend vochtig,Hoog,De plant kunt u het beste eind maart tot medio april snoeien. De plant bloeit op 1-jarig hout en de kale takken kunnen in het voorjaar (maart-april) tot circa 30-40 cm boven de grond afgeknipt worden.Bij droogte zullen de bladeren zichtbaar slap gaan hangen: De hoogste tijd om water te geven!,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200604-140118.jpg"
294,294,Hortensia Hydrangea Macrophylla Blaumeise,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli Juni,BladGroen,BloemBlauw BloemLila,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1609_src.jpg"
295,295,Hortensia Hydrangea Macrophylla Rotschwanz,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemRood,NietWintergroen,80,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1150_src.jpg"
296,296,Hortensia Hydrangea macrophylla,Heesters en Struiken,Vogels,Bijen,Vlinders,Egels,GeenEekhoorns,Augustus Juli,BladGroen,BloemBlauw BloemRoze BloemPaars,NietWintergroen,130,"Halfschaduw, Schaduw",Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200624-101511.jpg"
297,297,Hortensia Hydrangea macrophylla Endless summer pink,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli,BladGroen,BloemRoze BloemRood,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_585_src.jpg"
298,298,Hortensia Hydrangea macrophylla Expression,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli,BladGroen,BloemRoze BloemRood,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/endless-summer-hortensia.jpg"
299,299,Hortensia Hydrangea macrophylla Glowing Embers,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli,BladGroen,BloemRoze BloemRood,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_585_src.jpg"
300,300,Hortensia Hydrangea macrophylla Hobella,Heesters en Struiken,GeenVogels,Bijen,Vlinders,Egels,GeenEekhoorns,September Augustus Juli,BladGroen,BloemRoze BloemGroen,NietWintergroen,120,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1665_src.jpg"
301,301,Hortensia Hydrangea macrophylla Leuchtfeuer,Heesters en Struiken,GeenVogels,Bijen,Vlinders,Egels,GeenEekhoorns,Juli Augustus,BladGroen,BloemRoze BloemRood,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1210_src.jpg"
302,302,Hortensia Hydrangea macrophylla Mme E Mouilliere,Heesters en Struiken,GeenVogels,Bijen,Vlinders,Egels,GeenEekhoorns,Juli Augustus,BladGroen,BloemWit,NietWintergroen,150,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1449_src.jpg"
303,303,Hortensia Hydrangea macrophylla Renate,Heesters en Struiken,Vogels,Bijen,Vlinders,Egels,GeenEekhoorns,September Augustus Juli,BladGroen,BloemRoze BloemBlauw,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_117_src.jpg"
304,304,Hortensia Hydrangea macrophylla Taube,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli Juni,BladGroen,BloemRoze,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1411_src.jpg"
305,305,Hortensia Hydrangea macrophylla Veitchii,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli Juni,BladGroen,BloemWit BloemBlauw,NietWintergroen,100,"Halfschaduw, Schaduw",Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Hortensia-blauwe-schermen.png"
306,306,Hortensia Hydrangea serrata Blue deckle,Heesters en Struiken,GeenVogels,Bijen,Vlinders,Egels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemRoze BloemBlauw,NietWintergroen,100,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1076_src.jpg"
307,307,Hortensia Hydrangea serrata Bluebird,Heesters en Struiken,GeenVogels,Bijen,Vlinders,Egels,GeenEekhoorns,Juli,BladGroen,BloemBlauw,NietWintergroen,125,Lichteschaduw Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_178_src.jpg"
308,308,Hortensia scherm Hydrangea macrophylla Mariesii Lilacina,Heesters en Struiken,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus,BladGroen,BloemRoze,NietWintergroen,150,Halfschaduw,Vochthoudend vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Schermhortensia-roze-bloemen.png"
309,309,Hulst Ilex altaclerensis Camelliifolia,Haagplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen,Bloemwit,Wintergroen,600,Lichte schaduw,Vochthoudend vochtig,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2643_src.jpg"
310,310,Hyssop Hyssopus officinalis,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemBlauw BloemPaars,Wintergroen,50,Zon,Droog,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Hyssop-Hyssopus-officinalis.png"
311,311,Hyssop Hyssopus officinalis Albus,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemWit,Wintergroen,50,Zon,Droog,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1035_src.jpg"
312,312,IJzerhard Verbena Romance Carmine with Eye,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus Juli Juni Mei,BladGroen,BloemWit BloemRood,NietWintergroen,30,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2298_src.jpg"
313,313,IJzerhard Verbena Romance Pink,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus Juli Juni Mei,BladGroen,BloemRoze,NietWintergroen,30,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_236_src.jpg"
