,Name,Type,Birds,Bees,Butterflies,Hedgehogs,Squirrels,Flowering period,Leaf color,Flower color,Evergreen,Plant growth,Sun exposure,Soil moisture,Maintenance,Maintenance description,Photo
244,Gewoon-vingerhoedskruid-Digitalis-purpurea-Gelbe-Lanze-Hybriden,Borderplanten,Ja,Ja,Ja,,,"Juni, Juli",Groen,Rood,Ja,180,Schaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1012_src.jpg']"
245,gewoon-vingerhoedskruid-digitalis-purpurea-sutton-s-apricot/,Borderplanten,Ja,Ja,Ja,,,"Juni, Juli",Groen,Oranje,Ja,180,Schaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_211_src.jpg']"
246,Gewoon-vingerhoedskruid-Digitalis-purpurea-Wit,Borderplanten,,Ja,Ja,,,"Juni, Juli",Groen,Wit,Ja,150,"Schaduw, Halfschaduw",Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Gewoon-vingerhoedskruid-Digitalis-purpurea-'Alba'-tuinplanten-opgaand.png""]"
247,Glansmispel-Photinia-Red-Robin,Haagplanten,Ja,,,,,"Mei, Juni","Bruin, Rood",Wit,Ja,300,Zon,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Photinia-Glansmispel.jpg']"
248,Glansmispel-Photinia-villosa-var-laevis,Heesters en Struiken,Ja,,,,,"Mei, Juni",Groen,Wit,Nee,400,Halfschaduw / zon,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3618_src.jpg']"
249,Gouden-Hop-Humulus-lupulus-Aureus,Borderplanten,Ja,,,,,"Juli, Augustus","Groen, Geel",Groen,Nee,500,Schaduw,Droog,Geen,Hop sterft af in de winter. Snoei is niet nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_746_src.jpg']"
250,Groene-Hulst-Ilex-Aquifolium,Haagplanten,Ja,,,,,"April, Mei",Groen,Wit,Ja,1100,Lichte schaduw,Vochthoudend-vochtig,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/hulst-groen.png']"
251,Groene-beukenhaag-Fagus-sylvatica,Haagplanten,Ja,,,Ja,,,"Bruin, Rood",,Nee,2000,"Halfschaduw, Zon",Vochthoudend-vochtig,Gemiddeld,De boom hoeft niet echt gesnoeid te worden. Om de boom in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de boom te behouden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Fagus-Beukenhaag.jpg']"
252,Grote-kaardebol-Dipsacus-fullonum,Borderplanten,Ja,,,,,"Juli, Augustus",Groen,Lila,Ja,200,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_521_src.jpg']"
253,Grote-kattenstaart-Lythrum-salicaria,Borderplanten,Ja,,,,,"Augustus, Juli, Juni",Groen,"Roze, Rood",Nee,100,Zon,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_090408.jpg']"
254,Grote-kattenstaart-Lythrum-salicaria-Feuerkerze,Borderplanten,Ja,,,,,"Augustus, Juli, Juni",Groen,"Roze, Rood",Nee,90,Zon,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_090408_1.jpg']"
255,Grote-kattenstaart-Lythrum-salicaria-Lady-Sackville,Borderplanten,Ja,,,,,"Augustus, Juli, Juni",Groen,"Roze, Rood",Nee,90,Zon,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_090408_2.jpg']"
256,Grote-kattenstaart-Lythrum-salicaria-Robert,Borderplanten,Ja,,,,,"Juni, Juli, Augustus",Groen,Roze,Nee,70,Zon,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1711_src.jpg']"
257,Grote-leeuwenbek-Antirrhinum-majus-Coronette-Bronze,Borderplanten,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Oranje,Nee,40,Zon,Droog,Geen,Snoei is niet nodig bij deze plant.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2223_src.jpg']"
258,Grote-leeuwenbek-Antirrhinum-majus-Coronette-Cherry,Borderplanten,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Rood,Nee,40,Zon,Droog,Geen,Snoei is niet nodig bij deze plant.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_179_src.jpg']"
259,Grote-leeuwenbek-Antirrhinum-majus-Coronette-Crimson,Borderplanten,,Ja,Ja,,,"Augustus, Juli, Juni",Groen,"Roze, Rood",Nee,40,Zon,Droog,Geen,Snoei is niet nodig bij deze plant.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_791_src.jpg']"
260,Grote-leeuwenbek-Antirrhinum-majus-Coronette-Pink,Borderplanten,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Roze,Nee,40,Zon,Droog,Geen,Snoei is niet nodig bij deze plant.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_485_src.jpg']"
261,Grote-leeuwenbek-Antirrhinum-majus-Coronette-White,Borderplanten,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Wit,Nee,40,Zon,Droog,Geen,Snoei is niet nodig bij deze plant.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_580_src.jpg']"
262,Grote-leeuwenbek-Antirrhinum-majus-Coronette-Yellow,Borderplanten,,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Geel,Nee,40,Zon,Droog,Geen,Snoei is niet nodig bij deze plant.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1238_src.jpg']"
263,Grote-maagdenpalm-Vinca-major,Bodembedekkers,Ja,,,,,"April, Mei",Groen,"Blauw, Paars",Ja,30,"Schaduw, Halfschaduw, Zon",Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/grote-maagdenpalm.jpg']"
264,Gulden-Sleutelbloem-Primula-veris,Borderplanten,,Ja,Ja,,,"Maart, April, Mei",Groen,Geel,Nee,25,Schaduw,Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_652_src.jpg']"
265,Guldenroede-Solidago-Dzintra,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus",Groen,Geel,Nee,100,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1153_src.jpg']"
266,Guldenroede-Solidago-Golden-Mosa,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus",Groen,Geel,Nee,70,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2297_src.jpg']"
267,Guldenroede-Solidago-Goldkind,Borderplanten,Ja,Ja,Ja,,,"Augustus, September",Groen,,Nee,50,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3273_src.jpg']"
268,Guldenroede-Solidago-Ledsham,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus",Groen,Geel,Nee,60,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2166_src.jpg']"
269,Guldenroede-Solidago-Praecox,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus",Groen,Geel,Nee,60,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3620_src.jpg']"
270,Guldenroede-Solidago-Septembergold,Borderplanten,Ja,Ja,Ja,,,"Augustus, September",Groen,Geel,Nee,80,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2002_src.jpg']"
271,Guldenroede-Solidago-Super,Borderplanten,Ja,Ja,Ja,,,"Juli, Augustus, September",Groen,Geel,Nee,80,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3455_src.jpg']"
272,Guldenroede-Solidago-caesia,Borderplanten,Ja,Ja,Ja,,,"Augustus, September",Groen,Geel,Nee,80,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3432_src.jpg']"
273,Guldenroede-Solidago-rigida,Borderplanten,Ja,Ja,Ja,,,"Augustus, September","Groen, Grijs",Geel,Nee,160,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_762_src.jpg']"
274,Haagbeuk-Carpinus-betulus,Haagplanten,Ja,,,,,,Groen,,Nee,1500,Halfschaduw / zon,Vochthoudend,Hoog,Hagen gemaakt van deze plant worden meestal 2x per jaar geschoren.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/haagbeuk-groene-haag.png']"
275,Heesterganzerik-Potentilla-fruticosa-Primrose-Beauty,Borderplanten,,Ja,Ja,Ja,,"September, Augustus, Juli, Juni",Groen,Geel,Nee,70,Lichte schaduw / zon,Vochthoudend-vochtig,Hoog,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 30-50 cm boven de grond.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1491_src.jpg']"
276,hemdsknoopjes-achillea-ptarmica-perry-s-white/,Borderplanten,Ja,Ja,Ja,,,"Juni, Juli, Augustus",Groen,Wit,Nee,70,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Witbloeiende-vasteplantenbijen.jpg']"
277,Hemelsleutel-Primula-auricula,Borderplanten,,Ja,Ja,,,"April, Mei","Groen, Grijs",Geel,Ja,10,Halfschaduw,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_556_src.jpg']"
278,Hemelsleutel-Primula-capitata-subsp-mooreana,Borderplanten,,Ja,Ja,,,"Juni, Mei","Groen, Grijs","Paars, Blauw",Nee,30,Lichte schaduw,Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_632_src.jpg']"
279,Herfstaster-Aster-Schneekissen,Borderplanten,,Ja,Ja,,,"September, Oktober, Augustus",Groen,Wit,Nee,50,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Schermafbeelding-2021-10-26-om-15.38.23-kopie.jpg']"
280,Herfstaster-Aster-novae-angliae-Alma-Potschke,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Rood,Nee,80,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2499_src.jpg']"
281,Herfstaster-Aster-novae-angliae-Andenken-an-Alma-Pötschke,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Rood,Nee,80,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_346_src.jpg']"
282,aster-novae-angliae-barr-s-blue/,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Blauw,Nee,150,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2535_src.jpg']"
283,aster-novae-angliae-barr-s-pink/,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Paars,Nee,125,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_650_src.jpg']"
284,aster-novae-angliae-harrington-s-pink/,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Roze,Nee,125,Zon,Droog-vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_830_src.jpg']"
285,Herfstaster-Aster-novae-angliae-Purple-Dome,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Paars,Nee,60,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2376_src.jpg']"
286,Herfstaster-Aster-novae-angliae-Rosa-Sieger,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Roze,Nee,125,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2500_src.jpg']"
287,Herfstaster-Aster-novae-angliae-Rubinschatz,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,"Paars, Rood",Nee,125,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3311_src.jpg']"
288,Herfstaster-Aster-novae-angliae-Rudelsburg,Borderplanten,,Ja,Ja,,,"September, Oktober",Groen,Roze,Nee,120,Zon,Droog-vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2503_src.jpg']"
289,Himalajaberk-Betula-utilis-subsp-jacquemontii,Bomen,Ja,,,,,,Groen,,Nee,1500,Lichte schaduw / zon,Vochthoudend-vochtig,Hoog,Kruisende takken of takken die in de weg zitten terugknippen.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_324_src.jpg']"
290,Hondsroos-Rosa-canina,Heesters en Struiken,Ja,,,,,"Juni, Juli",Groen,Roze,Nee,350,Lichte schaduw / zon,Droog-vochthoudend,Gemiddeld,Bij deze struiken wordt er slechts af en toe verjongt door oude takken bij de basis weg te knippen.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210903_120424.jpg']"
291,Hondsviool-Viola-canina,Borderplanten,,,Ja,,,"April, Mei",Groen,Blauw,Nee,10,Schaduw,Vochthoudend,,,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1569_src.jpg']"
292,Hoogstam-Amerikaans-krentenboompje-Amelanchier-lamarckii-Grote-boom,Heesters en Struiken,Ja,,,,,"April, Mei",Groen,Wit,Nee,700,"Halfschaduw, Zon",Vochthoudend-vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Krentenboom-op-stam-kopen.jpg']"
293,wilde-hortensia-hydrangea-arborescens-annabelle/,Heesters en Struiken,,Ja,Ja,,,"Juli, Augustus, September",Groen,Wit,Nee,150,"Halfschaduw, Zon",Vochthoudend-vochtig,Hoog,De plant kunt u het beste eind maart tot medio april snoeien. De plant bloeit op 1-jarig hout en de kale takken kunnen in het voorjaar (maart-april) tot circa 30-40 cm boven de grond afgeknipt worden.Bij droogte zullen de bladeren zichtbaar slap gaan hangen: De hoogste tijd om water te geven!,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200604-140118.jpg']"
294,Hortensia-Hydrangea-Macrophylla-Blaumeise,Heesters en Struiken,,Ja,Ja,,,"September, Augustus, Juli, Juni",Groen,"Blauw, Lila",Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1609_src.jpg']"
295,Hortensia-Hydrangea-Macrophylla-Rotschwanz,Heesters en Struiken,,Ja,Ja,,,"Juli, Augustus",Groen,Rood,Nee,80,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1150_src.jpg']"
296,Hortensia-Hydrangea-macrophylla,Heesters en Struiken,Ja,Ja,Ja,Ja,,"Augustus, Juli",Groen,"Blauw, Roze, Paars",Nee,130,"Halfschaduw, Schaduw",Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/tempFileForShare_20200624-101511.jpg']"
297,Hortensia-Hydrangea-macrophylla-Endless-summer-pink,Heesters en Struiken,,Ja,Ja,,,"September, Augustus, Juli",Groen,"Roze, Rood",Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_585_src.jpg']"
298,Hortensia-Hydrangea-macrophylla-Expression,Heesters en Struiken,,Ja,Ja,,,"September, Augustus, Juli",Groen,"Roze, Rood",Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/endless-summer-hortensia.jpg']"
299,Hortensia-Hydrangea-macrophylla-Glowing-Embers,Heesters en Struiken,,Ja,Ja,,,"September, Augustus, Juli",Groen,"Roze, Rood",Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_585_src.jpg']"
300,Hortensia-Hydrangea-macrophylla-Hobella,Heesters en Struiken,,Ja,Ja,Ja,,"September, Augustus, Juli",Groen,"Roze, Groen",Nee,120,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1665_src.jpg']"
301,Hortensia-Hydrangea-macrophylla-Leuchtfeuer,Heesters en Struiken,,Ja,Ja,Ja,,"Juli, Augustus",Groen,"Roze, Rood",Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1210_src.jpg']"
302,Hortensia-Hydrangea-macrophylla-Mme-E-Mouilliere,Heesters en Struiken,,Ja,Ja,Ja,,"Juli, Augustus",Groen,Wit,Nee,150,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1449_src.jpg']"
303,Hortensia-Hydrangea-macrophylla-Renate,Heesters en Struiken,Ja,Ja,Ja,Ja,,"September, Augustus, Juli",Groen,"Roze, Blauw",Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_117_src.jpg']"
304,Hortensia-Hydrangea-macrophylla-Taube,Heesters en Struiken,,Ja,Ja,,,"September, Augustus, Juli, Juni",Groen,Roze,Nee,100,Lichte / halfschaduw,Vochthoudend-vochtig,Hoog,Om de struik te verjongen een aantal oude takken (maximaal 1/3 van alle takken) verwijderen door deze tot op 10 cm boven de grond af te knippen. De oude takken zijn te herkennen aan de lichtere kleur hout. Hierdoor groeien er vanaf de afgeknipte takken weer nieuwe scheuten die het volgende jaar weer bloemen geven. Ook de uitgebloeide bloemen kunnen in het voorjaar weggeknipt worden tot aan het punt waar een goede knop te zien is.,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1411_src.jpg']"
